area,rooms,floor,total_floors,district,year_built,price
45.0,1,3,9,Центральный,1985,4200000
62.0,2,5,9,Кировский,1990,5800000
80.0,3,7,12,Октябрьский,2005,7500000
35.0,1,1,5,Ленинский,1975,3100000
95.0,3,10,16,Центральный,2010,9800000
55.0,2,4,9,Верх-Исетский,1988,5100000
120.0,4,8,17,Чкаловский,2015,12500000
42.0,1,2,5,Железнодорожный,1970,3800000
70.0,2,6,9,Орджоникидзевский,1995,6400000
88.0,3,9,12,Центральный,2008,9200000
50.0,2,3,9,Кировский,1983,4700000
65.0,2,5,10,Октябрьский,2000,6100000
100.0,4,11,16,Верх-Исетский,2012,10500000
38.0,1,1,9,Ленинский,1980,3400000
75.0,3,7,9,Чкаловский,1993,7000000
58.0,2,4,9,Центральный,1987,5500000
110.0,4,12,17,Октябрьский,2018,13200000
40.0,1,2,5,Кировский,1978,3600000
68.0,2,6,9,Железнодорожный,1997,6200000
85.0,3,8,12,Верх-Исетский,2006,8800000
48.0,1,3,9,Орджоникидзевский,1984,4400000
72.0,3,5,9,Ленинский,1991,6700000
92.0,3,10,14,Центральный,2009,9600000
36.0,1,1,5,Чкаловский,1972,3200000
78.0,3,7,12,Кировский,1996,7300000
53.0,2,4,9,Октябрьский,1986,5000000
115.0,4,13,17,Центральный,2016,14000000
43.0,1,2,9,Верх-Исетский,1979,3900000
67.0,2,6,9,Железнодорожный,1994,6000000
83.0,3,8,12,Ленинский,2004,8500000
46.0,1,3,9,Чкаловский,1982,4100000
63.0,2,5,9,Орджоникидзевский,2001,5900000
98.0,4,11,16,Кировский,2011,10200000
37.0,1,1,5,Центральный,1976,3300000
76.0,3,7,9,Октябрьский,1992,7100000
56.0,2,4,9,Верх-Исетский,1985,5200000
108.0,4,12,17,Железнодорожный,2017,12800000
41.0,1,2,5,Ленинский,1977,3700000
69.0,2,6,9,Чкаловский,1998,6300000
86.0,3,9,12,Центральный,2007,9000000
49.0,2,3,9,Кировский,1983,4600000
73.0,3,5,9,Октябрьский,1990,6800000
93.0,3,10,14,Верх-Исетский,2010,9700000
35.0,1,1,5,Железнодорожный,1971,3000000
79.0,3,7,12,Ленинский,1995,7400000
54.0,2,4,9,Чкаловский,1987,5100000
112.0,4,13,17,Орджоникидзевский,2016,13500000
44.0,1,2,9,Центральный,1980,4000000
66.0,2,6,9,Кировский,1993,6100000
84.0,3,8,12,Октябрьский,2005,8700000
47.0,1,3,9,Верх-Исетский,1981,4300000
64.0,2,5,9,Железнодорожный,2002,6000000
97.0,4,11,16,Ленинский,2012,10000000
38.0,1,1,5,Чкаловский,1974,3500000
77.0,3,7,9,Центральный,1991,7200000
57.0,2,4,9,Орджоникидзевский,1986,5300000
106.0,4,12,17,Кировский,2017,12600000
39.0,1,2,5,Октябрьский,1978,3500000
71.0,2,6,9,Верх-Исетский,1999,6500000
87.0,3,9,12,Железнодорожный,2007,9100000
51.0,2,3,9,Ленинский,1984,4800000
74.0,3,5,9,Чкаловский,1990,6900000
94.0,3,10,14,Центральный,2011,9900000
34.0,1,1,5,Орджоникидзевский,1970,2900000
80.0,3,7,12,Кировский,1996,7600000
55.0,2,4,9,Октябрьский,1988,5200000
118.0,4,14,17,Центральный,2019,14500000
42.0,1,2,9,Верх-Исетский,1979,3800000
70.0,2,6,9,Ленинский,1994,6400000
88.0,3,8,12,Чкаловский,2006,9000000
50.0,1,3,9,Железнодорожный,1982,4700000
65.0,2,5,9,Центральный,2001,6200000
102.0,4,11,16,Орджоникидзевский,2013,10700000
36.0,1,1,5,Кировский,1973,3100000
78.0,3,7,9,Октябрьский,1992,7200000
59.0,2,4,9,Верх-Исетский,1985,5600000
109.0,4,12,17,Ленинский,2018,13000000
40.0,1,2,5,Чкаловский,1977,3600000
72.0,2,6,9,Железнодорожный,1997,6700000
89.0,3,9,12,Центральный,2008,9300000
52.0,2,3,9,Орджоникидзевский,1984,4900000
76.0,3,5,9,Кировский,1991,7100000
96.0,3,10,14,Октябрьский,2011,10100000
33.0,1,1,5,Верх-Исетский,1969,2800000
81.0,3,7,12,Ленинский,1997,7700000
56.0,2,4,9,Чкаловский,1989,5300000
114.0,4,13,17,Железнодорожный,2017,13800000
43.0,1,2,9,Центральный,1980,3900000
68.0,2,6,9,Орджоникидзевский,1993,6300000
90.0,3,8,12,Кировский,2006,9400000
48.0,1,3,9,Октябрьский,1981,4500000
66.0,2,5,9,Верх-Исетский,2003,6100000
104.0,4,11,16,Ленинский,2014,10900000
37.0,1,1,5,Чкаловский,1975,3200000
79.0,3,7,9,Центральный,1993,7500000
58.0,2,4,9,Железнодорожный,1987,5400000
107.0,4,12,17,Орджоникидзевский,2016,12900000
41.0,1,2,5,Кировский,1978,3700000
73.0,2,6,9,Октябрьский,1998,6800000
