full_sq,life_sq,floor,max_floor,build_year,num_room,kitch_sq,sub_area,price_doc
42,28.0,8.0,9.0,1969.0,2.0,6.0,Pechatniki,7100000
55,41.0,4.0,5.0,1960.0,3.0,5.0,Dorogomilovo,11500000
43,29.0,4.0,5.0,1960.0,2.0,5.0,Ivanovskoe,5800000
62,35.0,15.0,22.0,1985.0,2.0,10.0,Jasenevo,11400000
80,55.0,15.0,24.0,2017.0,3.0,12.0,Nagatinskij Zaton,12697154
42,18.0,19.0,23.0,2006.0,1.0,10.0,Rjazanskij,2000000
32,18.0,1.0,9.0,1970.0,1.0,6.0,Caricyno,5700000
37,19.0,7.0,17.0,1986.0,1.0,7.0,Kon'kovo,7850000
51,40.0,6.0,9.0,1969.0,3.0,5.0,Ivanovskoe,9500000
37,19.0,5.0,16.0,1984.0,1.0,9.0,Vyhino-Zhulebino,6100000
79,77.0,9.0,17.0,2013.0,3.0,1.0,Nekrasovka,7257928
75,44.0,15.0,16.0,1980.0,3.0,10.0,Jasenevo,10800000
77,75.0,1.0,6.0,2014.0,3.0,11.0,Poselenie Sosenskoe,7251160
36,19.0,10.0,17.0,1993.0,1.0,7.0,Mitino,6650000
38,20.0,10.0,14.0,1997.0,1.0,8.0,Matushkino,1100000
38,19.0,11.0,16.0,1981.0,1.0,8.0,Ostankinskoe,8200000
43,28.0,5.0,5.0,1964.0,2.0,5.0,Nagatinskij Zaton,6920000
73,44.0,4.0,17.0,1985.0,3.0,10.0,Krylatskoe,15300000
55,32.0,12.0,16.0,1979.0,2.0,8.0,Otradnoe,9000000
59,44.0,9.0,9.0,1970.0,3.0,5.0,Ivanovskoe,7600000
34,19.0,3.0,12.0,1969.0,1.0,9.0,Mozhajskoe,5800000
90,48.0,3.0,20.0,2004.0,3.0,11.0,Teplyj Stan,17300000
30,18.0,5.0,5.0,1960.0,1.0,6.0,Ivanovskoe,1200000
77,0.0,16.0,22.0,0.0,3.0,0.0,Poselenie Shherbinka,5615703
37,19.0,13.0,17.0,2006.0,1.0,7.0,Juzhnoe Medvedkovo,7100000
77,46.0,20.0,22.0,1994.0,3.0,9.0,Butyrskoe,14100000
34,19.0,12.0,,,,,Birjulevo Zapadnoe,4700000
44,28.0,1.0,9.0,1972.0,2.0,6.0,Ivanovskoe,6500000
55,32.0,22.0,27.0,2006.0,2.0,7.0,Horoshevo-Mnevniki,14050000
37,18.0,2.0,,,,,Orehovo-Borisovo Juzhnoe,5900000
66,66.0,5.0,6.0,2014.0,2.0,0.0,Ramenki,10630400
38,,12.0,,,,,Poselenie Voskresenskoe,3839320
43,43.0,4.0,12.0,2013.0,2.0,1.0,Poselenie Sosenskoe,4546500
1,1.0,1.0,1.0,1.0,1.0,1.0,Poselenie Voskresenskoe,7820575
117,66.0,8.0,23.0,2010.0,3.0,12.0,Mitino,6400000
94,52.0,8.0,20.0,2012.0,3.0,11.0,Nagatino-Sadovniki,9000000
38,19.0,12.0,16.0,1976.0,1.0,10.0,Golovinskoe,2000000
150,80.0,6.0,16.0,2000.0,3.0,25.0,Krylatskoe,36500000
31,18.0,3.0,5.0,1966.0,1.0,5.0,Savelovskoe,5950000
38,37.0,5.0,17.0,2015.0,1.0,10.0,Nekrasovka,4033260
58,32.0,8.0,17.0,1989.0,2.0,10.0,Brateevo,6000000
76,45.0,5.0,17.0,1987.0,3.0,10.0,Orehovo-Borisovo Juzhnoe,13200000
84,62.0,4.0,6.0,1932.0,4.0,7.0,Krasnosel'skoe,15200000
68,46.0,3.0,16.0,1977.0,3.0,7.0,Bogorodskoe,9000000
76,44.0,5.0,17.0,1986.0,3.0,10.0,Krylatskoe,16000000
39,20.0,12.0,12.0,1983.0,1.0,8.0,Birjulevo Vostochnoe,5500000
74,43.0,9.0,17.0,1993.0,3.0,10.0,Vyhino-Zhulebino,11600000
44,30.0,5.0,5.0,1962.0,2.0,5.0,Severnoe Izmajlovo,2250000
38,23.0,9.0,12.0,1969.0,2.0,6.0,Preobrazhenskoe,7250000
62,32.0,8.0,17.0,2008.0,2.0,12.0,Beskudnikovskoe,10600000
62,62.0,5.0,20.0,0.0,2.0,0.0,Poselenie Vnukovskoe,6844024
38,23.0,7.0,14.0,1969.0,2.0,6.0,Sviblovo,6900000
102,63.0,22.0,22.0,2003.0,4.0,10.0,Hovrino,18500000
56,40.0,3.0,9.0,1965.0,3.0,4.0,Danilovskoe,9250000
36,19.0,14.0,17.0,1990.0,1.0,7.0,Severnoe Butovo,7050000
39,,14.0,0.0,,1.0,0.0,Sviblovo,8159000
41,41.0,12.0,13.0,2014.0,1.0,1.0,Poselenie Voskresenskoe,4631820
68,34.0,10.0,20.0,2008.0,2.0,14.0,Moskvorech'e-Saburovo,12200000
34,19.0,5.0,14.0,1971.0,1.0,9.0,Chertanovo Juzhnoe,5700000
32,18.0,9.0,9.0,1978.0,1.0,6.0,Otradnoe,5500000
43,29.0,5.0,5.0,1960.0,2.0,5.0,Presnenskoe,9200000
39,23.0,8.0,12.0,1964.0,2.0,6.0,Presnenskoe,9500000
